<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
01.09.2020,12:21:00,109347,115240,108036,109946,68
01.09.2020,12:22:00,114773,115230,107934,113699,58
01.09.2020,12:23:00,111571,115228,107941,114022,41
01.09.2020,12:24:00,109675,115254,108089,113365,23
01.09.2020,12:25:00,111294,115155,108136,112491,74
01.09.2020,12:26:00,114072,115216,107915,114892,43
01.09.2020,12:27:00,112604,115046,108043,110361,32
01.09.2020,12:28:00,107985,115253,107985,113195,62
01.09.2020,12:29:00,111638,115135,107907,111468,60
01.09.2020,12:30:00,112349,114958,107924,113726,17
01.09.2020,12:31:00,110080,114993,108218,108745,13
01.09.2020,12:32:00,112377,114717,108268,110131,63
01.09.2020,12:33:00,107952,115252,107934,110847,5
01.09.2020,12:34:00,112917,114920,107913,113841,6
01.09.2020,12:35:00,111166,115247,108140,114791,96
01.09.2020,12:36:00,109254,115104,108012,112605,62
01.09.2020,12:37:00,114613,115173,107997,110133,86
01.09.2020,12:38:00,108260,115293,107930,108364,40
01.09.2020,12:39:00,113034,115087,107932,112251,3
01.09.2020,12:40:00,111775,115179,108082,109170,41
01.09.2020,12:41:00,107901,115286,107901,113755,43
01.09.2020,12:42:00,115126,115231,108043,113862,92
01.09.2020,12:43:00,109396,115296,107943,115004,7
01.09.2020,12:44:00,112137,115236,108056,114724,12
01.09.2020,12:45:00,115290,115290,108032,111299,2
01.09.2020,12:46:00,114560,115247,108012,111369,54
01.09.2020,12:47:00,108006,115283,107952,108014,96
01.09.2020,12:48:00,111113,115211,107904,112811,32
01.09.2020,12:49:00,111729,115263,108027,113549,12
01.09.2020,12:50:00,108031,114944,108031,110488,64
01.09.2020,12:51:00,111013,115083,107955,114852,62
01.09.2020,12:52:00,113931,114936,108007,112743,93
01.09.2020,12:53:00,111540,115268,107989,109200,83
01.09.2020,12:54:00,109897,115208,108334,108962,90
01.09.2020,12:55:00,109533,114817,108100,108970,96
01.09.2020,12:56:00,115167,115167,107936,115084,42
01.09.2020,12:57:00,110853,115126,107988,111003,74
01.09.2020,12:58:00,108057,115133,108057,113536,60
01.09.2020,12:59:00,112294,115173,108061,108750,97
01.09.2020,13:00:00,109601,115186,107936,111646,2
01.09.2020,13:01:00,110598,115245,108078,112163,66
01.09.2020,13:02:00,108784,115126,108146,109638,84
01.09.2020,13:03:00,113666,115055,108011,112423,37
01.09.2020,13:04:00,108198,115291,107986,109470,4
01.09.2020,13:05:00,115139,115139,108553,108781,10
01.09.2020,13:06:00,111871,115235,108000,111345,81
01.09.2020,13:07:00,114474,114736,107918,110903,8
01.09.2020,13:08:00,112529,115044,108312,114943,69
01.09.2020,13:09:00,110712,114742,107932,108633,84
01.09.2020,13:10:00,112815,115083,108281,114818,79
01.09.2020,13:11:00,114905,115292,107949,114775,4
01.09.2020,13:12:00,111867,115149,107924,112525,52
01.09.2020,13:13:00,111668,115293,107909,109219,27
01.09.2020,13:14:00,113181,115202,108170,112308,51
01.09.2020,13:15:00,109021,115083,108080,110891,14
01.09.2020,13:16:00,112531,115266,108070,108070,85
01.09.2020,13:17:00,112055,114984,107998,111374,68
01.09.2020,13:18:00,114282,115211,107943,112115,68
01.09.2020,13:19:00,112819,115211,107922,109343,40
01.09.2020,13:20:00,114499,115186,107956,113700,11
01.09.2020,13:21:00,114465,115251,108113,111920,92
01.09.2020,13:22:00,112205,115254,108409,109824,3
01.09.2020,13:23:00,114494,115276,107959,107962,73
01.09.2020,13:24:00,111346,115088,108294,110150,96
01.09.2020,13:25:00,115153,115210,107919,110988,22
01.09.2020,13:26:00,110902,115120,108193,114335,52
01.09.2020,13:27:00,111397,115037,107906,110216,41
01.09.2020,13:28:00,109422,115245,108035,113468,38
01.09.2020,13:29:00,115030,115171,107900,113475,11
01.09.2020,13:30:00,114414,115283,107917,113923,23
01.09.2020,13:31:00,114008,115141,108240,109575,29
01.09.2020,13:32:00,110817,114953,107948,110714,28
01.09.2020,13:33:00,113368,115269,107907,113468,71
01.09.2020,13:34:00,114807,115149,108084,108723,54
01.09.2020,13:35:00,113010,115066,107910,109773,48
01.09.2020,13:36:00,114566,115122,108213,109012,14
01.09.2020,13:37:00,111636,115283,107938,109096,15
01.09.2020,13:38:00,112911,115015,108043,109218,84
01.09.2020,13:39:00,109826,115263,108087,110254,66
01.09.2020,13:40:00,112015,115288,107924,110164,67
01.09.2020,13:41:00,108531,115030,108180,114482,80
01.09.2020,13:42:00,109906,115265,107973,110027,18
01.09.2020,13:43:00,110971,115101,107981,114718,79
01.09.2020,13:44:00,109264,115239,107906,108640,58
01.09.2020,13:45:00,110924,115291,107902,115212,91
01.09.2020,13:46:00,114631,115290,107906,108911,41
01.09.2020,13:47:00,111285,115076,107916,108373,78
01.09.2020,13:48:00,112623,115198,107918,109243,18
01.09.2020,13:49:00,109401,115209,107909,108530,31
01.09.2020,13:50:00,108662,115264,108038,109906,60
01.09.2020,13:51:00,111881,115257,108064,112597,62
01.09.2020,13:52:00,107914,114873,107914,109053,80
01.09.2020,13:53:00,113752,115109,107980,113736,33
01.09.2020,13:54:00,112519,115273,108032,110354,79
01.09.2020,13:55:00,112328,115194,107949,111941,96
01.09.2020,13:56:00,110871,115243,107932,113584,27
01.09.2020,13:57:00,109144,115181,107924,109605,3
01.09.2020,13:58:00,114168,115150,107906,110898,28
01.09.2020,13:59:00,109341,115118,107961,110166,65
01.09.2020,14:00:00,113546,115185,108026,111651,17
01.09.2020,14:01:00,114212,115037,108134,115037,77
01.09.2020,14:02:00,114751,115199,107936,113906,55
01.09.2020,14:03:00,110871,115224,107979,112963,30
01.09.2020,14:04:00,114945,115262,107960,114706,9
01.09.2020,14:05:00,108424,115193,107994,109703,6
01.09.2020,14:06:00,112124,115263,107924,112516,43
01.09.2020,14:07:00,111598,115094,107959,109083,4
01.09.2020,14:08:00,113757,115136,108176,109251,29
01.09.2020,14:09:00,113498,115280,107913,114151,6
01.09.2020,14:10:00,109457,115167,107901,112179,18
01.09.2020,14:11:00,110614,115051,107970,111941,36
01.09.2020,14:12:00,110447,115092,108025,114015,16
01.09.2020,14:13:00,108896,115272,107962,109117,79
01.09.2020,14:15:00,108598,115282,107931,112783,39
01.09.2020,14:16:00,111280,115296,108152,111589,14
01.09.2020,14:17:00,110961,115273,108055,112679,21
01.09.2020,14:18:00,108908,115258,107914,114429,43
01.09.2020,14:19:00,110353,115173,108212,110740,3
01.09.2020,14:20:00,109992,114999,107907,109563,79
01.09.2020,14:21:00,114224,115172,107983,112568,63
01.09.2020,14:22:00,110710,115269,108104,110292,44
01.09.2020,14:23:00,111432,115089,107968,112551,85
01.09.2020,14:24:00,113677,115103,108093,113280,11
01.09.2020,14:25:00,109105,115204,108027,113912,78
01.09.2020,14:26:00,111492,115089,107908,115089,65
01.09.2020,14:27:00,111821,115214,107910,108192,2
01.09.2020,14:28:00,115112,115281,107927,110057,3
01.09.2020,14:29:00,109823,114899,107945,114801,18
01.09.2020,14:30:00,112271,115278,107933,110467,32
01.09.2020,14:31:00,109935,115263,108006,114684,82
01.09.2020,14:32:00,112880,115182,108135,108205,84
01.09.2020,14:33:00,114152,115266,107993,109058,48
01.09.2020,14:34:00,109789,114930,107956,110249,39
01.09.2020,14:35:00,112485,115264,107905,112672,23
01.09.2020,14:36:00,111856,115200,108326,111248,10
01.09.2020,14:37:00,114557,115270,107913,112600,45
01.09.2020,14:38:00,111958,115220,107913,107978,65
01.09.2020,14:39:00,113364,115298,107948,113865,40
01.09.2020,14:40:00,113969,115140,108179,108843,51
01.09.2020,14:41:00,113026,115279,107936,109090,63
01.09.2020,14:42:00,111509,115166,108016,112146,80
01.09.2020,14:43:00,114194,115200,108176,113351,3
01.09.2020,14:44:00,113826,115058,107990,110341,73
01.09.2020,14:45:00,112202,115041,107929,108327,73
01.09.2020,14:46:00,114237,115298,107920,108973,5
01.09.2020,14:47:00,109952,115146,108048,109838,5
01.09.2020,14:48:00,109869,115249,107950,115249,11
01.09.2020,14:49:00,111762,115270,108146,113311,14
01.09.2020,14:50:00,110725,115272,107910,109653,83
01.09.2020,14:51:00,112357,114785,108048,111027,19
01.09.2020,14:52:00,112130,115195,107906,109372,78
01.09.2020,14:53:00,110671,115275,107941,110630,42
01.09.2020,14:54:00,113752,115251,107918,108601,59
01.09.2020,14:55:00,113880,115219,107971,109194,96
01.09.2020,14:56:00,114989,115191,108053,110182,1
01.09.2020,14:58:00,114850,115251,108388,112617,45
01.09.2020,14:59:00,111034,115088,107951,115043,22
01.09.2020,15:00:00,114287,115287,107991,115287,66
01.09.2020,15:01:00,110718,114891,107962,113795,46
01.09.2020,15:02:00,113440,115228,108414,111534,56
01.09.2020,15:03:00,113208,115115,108747,113985,48
01.09.2020,15:04:00,114918,115290,107948,112145,31
01.09.2020,15:05:00,111670,115282,107902,110468,30
01.09.2020,15:06:00,115133,115133,108172,112871,1
01.09.2020,15:07:00,111925,115055,108036,114153,63
01.09.2020,15:08:00,108185,115273,108185,111891,73
01.09.2020,15:09:00,114457,114975,108071,114643,28
01.09.2020,15:10:00,115049,115213,107910,114601,61
01.09.2020,15:11:00,107948,115064,107948,110398,22
01.09.2020,15:12:00,113499,115241,108303,108878,57
01.09.2020,15:13:00,110513,115266,107993,109240,60
01.09.2020,15:14:00,115028,115041,108098,109697,57
01.09.2020,15:15:00,114812,115293,108067,110513,76
01.09.2020,15:16:00,115227,115272,108236,115015,91
01.09.2020,15:17:00,110557,115192,107948,113381,85
01.09.2020,15:18:00,110931,114972,108122,110259,77
01.09.2020,15:19:00,114005,115177,108028,113959,64
01.09.2020,15:20:00,109239,115252,107954,111026,38
01.09.2020,15:21:00,110375,115269,108029,109599,11
01.09.2020,15:22:00,112966,115106,107907,108386,29
01.09.2020,15:23:00,108514,115278,107904,114999,75
01.09.2020,15:24:00,110097,115093,107904,109717,93
01.09.2020,15:25:00,113117,115194,108025,114182,78
01.09.2020,15:26:00,114413,115271,107959,112016,49
01.09.2020,15:27:00,111590,115286,107908,110318,33
01.09.2020,15:28:00,109028,115165,108059,108962,34
01.09.2020,15:29:00,112854,115183,108044,113214,95
01.09.2020,15:30:00,111516,115189,107945,109825,71
01.09.2020,15:31:00,108101,115266,107953,110230,34
01.09.2020,15:32:00,109769,115218,107920,109377,60
01.09.2020,15:33:00,114379,115233,108077,114234,67
01.09.2020,15:34:00,109337,115204,107981,108491,98
01.09.2020,15:35:00,113247,115193,108111,112392,6
01.09.2020,15:36:00,108186,114947,107941,110382,57
01.09.2020,15:37:00,108793,115091,107982,110850,88
01.09.2020,15:38:00,113675,115287,107955,113483,9
01.09.2020,15:39:00,111105,115230,107905,112281,8
01.09.2020,15:40:00,109691,114983,107972,114041,46
01.09.2020,15:41:00,111840,115273,108007,113689,60
01.09.2020,15:42:00,112302,115203,107912,111550,69
01.09.2020,15:43:00,113794,115278,107967,110338,34
01.09.2020,15:44:00,115135,115257,108053,114479,76
01.09.2020,15:45:00,114888,114997,107928,114637,6
01.09.2020,15:46:00,108890,115212,108033,111303,67
01.09.2020,15:47:00,110877,115126,107979,114298,50
01.09.2020,15:48:00,109994,115085,107913,113807,32
01.09.2020,15:49:00,109685,115182,107969,112821,72
01.09.2020,15:50:00,112864,115177,107962,113546,9
01.09.2020,15:51:00,108892,114836,107915,109782,95
01.09.2020,15:52:00,113580,115299,107989,108239,46
01.09.2020,15:53:00,114737,115210,107913,114613,98
01.09.2020,15:54:00,111973,115240,108496,113614,32
01.09.2020,15:55:00,113281,114997,107987,110893,67
01.09.2020,15:56:00,113062,115288,107937,112145,96
01.09.2020,15:57:00,114315,115177,107926,108556,36
01.09.2020,15:58:00,114990,115221,107970,114756,42
01.09.2020,15:59:00,110462,115241,107921,113665,57
01.09.2020,16:00:00,109035,115027,107950,110356,68
01.09.2020,16:01:00,113608,115258,107950,110725,93
01.09.2020,16:02:00,109352,115292,107956,113114,21
01.09.2020,16:03:00,112719,115274,107972,114783,31
01.09.2020,16:04:00,114383,115194,107974,114732,19
01.09.2020,16:05:00,111877,115189,107918,115184,13
01.09.2020,16:06:00,115253,115253,108042,111397,24
01.09.2020,16:07:00,113900,115194,107924,114825,30
01.09.2020,16:08:00,110675,115274,107923,115186,62
01.09.2020,16:09:00,112809,115121,108041,113223,86
01.09.2020,16:10:00,111369,115102,108025,109294,72
01.09.2020,16:11:00,108776,115190,107911,108533,27
01.09.2020,16:12:00,108307,115245,108077,108077,26
01.09.2020,16:13:00,115078,115078,107966,112581,85
01.09.2020,16:14:00,111710,115197,108014,111767,66
01.09.2020,16:15:00,108746,115205,108092,108641,28
01.09.2020,16:16:00,110290,115223,108154,109530,36
01.09.2020,16:17:00,108313,115274,107952,113007,90
01.09.2020,16:18:00,111118,115279,107925,109377,39
01.09.2020,16:19:00,111291,115252,107931,109805,25
01.09.2020,16:20:00,114938,115163,107956,112307,96
01.09.2020,16:21:00,113757,115296,108233,114097,54
01.09.2020,16:22:00,113170,115151,107952,110832,60
01.09.2020,16:23:00,114087,115234,108002,109833,65
01.09.2020,16:24:00,110603,115286,108027,113780,17
01.09.2020,16:25:00,112880,115271,107933,115138,87
01.09.2020,16:26:00,109659,115228,107907,111263,38
01.09.2020,16:27:00,111448,115270,107913,114062,67
01.09.2020,16:28:00,110552,114935,107961,109268,20
01.09.2020,16:29:00,108109,115291,107932,115093,43
01.09.2020,16:30:00,112412,115190,107989,112539,37
01.09.2020,16:31:00,109277,115277,108219,114485,71
01.09.2020,16:32:00,110340,115242,107988,114464,8
01.09.2020,16:33:00,109436,115203,108054,109971,76
01.09.2020,16:34:00,110418,115062,107918,114987,46
01.09.2020,16:35:00,115087,115267,107983,112398,85
01.09.2020,16:36:00,113547,115190,107908,110064,75
01.09.2020,16:37:00,108823,115213,107999,113584,44
01.09.2020,16:38:00,114471,115219,108030,113536,96
01.09.2020,16:39:00,114079,115192,107954,115022,29
01.09.2020,16:40:00,115194,115279,107957,108290,22
01.09.2020,16:41:00,109030,115209,107924,109530,59
01.09.2020,16:42:00,110422,114997,107908,109126,3
01.09.2020,16:43:00,110347,115299,108076,114092,55
01.09.2020,16:44:00,107939,115060,107939,114626,75
01.09.2020,16:45:00,112848,115048,107943,113921,5
01.09.2020,16:46:00,111753,114835,107995,112783,22
01.09.2020,16:47:00,107943,115273,107943,113044,5
01.09.2020,16:48:00,114984,115106,107940,112271,60
01.09.2020,16:49:00,108836,115261,107906,110251,10
01.09.2020,16:50:00,114338,115280,107911,112491,33
01.09.2020,16:51:00,114824,115122,108036,113526,66
01.09.2020,16:52:00,108304,115189,108092,110640,54
01.09.2020,16:53:00,111083,115293,107970,109987,31
01.09.2020,16:54:00,114636,115283,107989,113897,33
01.09.2020,16:55:00,112118,115284,108060,109983,12
01.09.2020,16:56:00,109571,115250,107909,114000,84
01.09.2020,16:57:00,112114,115292,108646,111384,90
01.09.2020,16:58:00,111967,115249,107955,111250,85
01.09.2020,16:59:00,114696,115299,107925,108527,79
01.09.2020,17:00:00,108075,115231,107932,108295,74
01.09.2020,17:01:00,113137,115195,107982,112068,19
01.09.2020,17:02:00,111854,115241,108018,110760,19
01.09.2020,17:04:00,112112,115263,107964,111849,19
01.09.2020,17:05:00,111047,115243,108175,114249,53
01.09.2020,17:07:00,112544,115293,107916,109385,3
01.09.2020,17:08:00,111215,114669,107998,111150,51
01.09.2020,17:09:00,111069,115123,107930,107972,13
01.09.2020,17:10:00,109776,115116,108052,109882,89
01.09.2020,17:11:00,115145,115290,107944,109472,39
01.09.2020,17:12:00,113953,115179,107910,114089,53
01.09.2020,17:13:00,113303,115097,108139,114369,70
01.09.2020,17:14:00,111322,115251,108203,109224,75
01.09.2020,17:15:00,110781,114864,107950,114130,4
01.09.2020,17:16:00,112728,115289,107917,114482,33
01.09.2020,17:17:00,114384,115033,107960,110372,89
01.09.2020,17:18:00,113057,115188,108076,114829,92
01.09.2020,17:19:00,112843,114982,107928,111298,39
01.09.2020,17:20:00,112603,115105,107914,108548,47
01.09.2020,17:21:00,109395,115090,108018,108901,98
01.09.2020,17:22:00,113539,115050,108120,108669,53
01.09.2020,17:23:00,112012,115294,107949,111357,81
01.09.2020,17:24:00,112049,115013,107994,112071,37
01.09.2020,17:25:00,112322,115202,107947,109647,98
01.09.2020,17:26:00,112854,115177,107970,115081,65
01.09.2020,17:27:00,108646,115260,108057,111038,38
01.09.2020,17:28:00,110375,115083,107948,109274,11
01.09.2020,17:29:00,113744,115217,107912,113193,37
01.09.2020,17:30:00,113221,115247,107967,110437,54
01.09.2020,17:31:00,109789,115288,108008,109643,19
01.09.2020,17:32:00,110107,115156,107950,109491,77
01.09.2020,17:33:00,114553,115286,108021,115273,87
01.09.2020,17:34:00,110329,115202,107933,111322,49
01.09.2020,17:35:00,109667,115243,107922,109363,34
01.09.2020,17:36:00,112603,115198,108220,113338,88
01.09.2020,17:37:00,108583,115181,108118,112297,11
01.09.2020,17:38:00,108458,115124,107908,112149,62
01.09.2020,17:39:00,113897,115213,107966,107989,37
01.09.2020,17:40:00,111026,115025,108223,113749,47
01.09.2020,17:41:00,108330,114838,107902,111396,94
01.09.2020,17:42:00,114955,115135,107962,108293,61
01.09.2020,17:43:00,113164,115105,108251,114490,50
01.09.2020,17:44:00,109066,115239,108068,109441,64
01.09.2020,17:45:00,111790,115295,107938,110049,44
01.09.2020,17:47:00,109130,115120,107990,108987,32
01.09.2020,17:48:00,114719,115256,108005,108345,87
01.09.2020,17:49:00,110115,114909,108317,113637,73
01.09.2020,17:50:00,111812,115159,108175,112525,20
01.09.2020,17:51:00,110411,114981,107921,113583,49
01.09.2020,17:52:00,112657,115282,108035,111663,79
01.09.2020,17:53:00,110254,115268,107919,108182,46
01.09.2020,17:54:00,114141,115125,107995,110084,5
01.09.2020,17:55:00,109726,115265,107942,113087,4
01.09.2020,17:56:00,112982,115276,108059,110253,65
01.09.2020,17:57:00,109049,115275,108291,111406,83
01.09.2020,17:58:00,112603,115238,108004,111198,29
01.09.2020,17:59:00,114341,115164,107907,112799,14
01.09.2020,18:00:00,108448,115243,108136,110126,49
01.09.2020,18:01:00,109683,115265,107957,113444,23
01.09.2020,18:02:00,109338,115296,107950,113059,92
01.09.2020,18:03:00,114214,115154,108135,111758,67
01.09.2020,18:04:00,108812,115210,107900,111971,41
01.09.2020,18:05:00,112090,115262,108177,113050,59
01.09.2020,18:06:00,108446,115143,107983,110666,36
01.09.2020,18:07:00,113066,115230,108276,109748,87
01.09.2020,18:08:00,108423,115289,108041,108842,2
01.09.2020,18:09:00,111949,115298,107916,109508,12
01.09.2020,18:10:00,108914,115209,107909,114384,72
01.09.2020,18:11:00,113909,115101,108006,112000,7
01.09.2020,18:12:00,112342,115286,107902,112582,3
01.09.2020,18:13:00,111811,114984,108044,108044,87
01.09.2020,18:14:00,112402,115153,107921,111920,97
01.09.2020,18:15:00,109590,115162,107986,114792,92
01.09.2020,18:16:00,114545,115255,108130,111445,54
01.09.2020,18:17:00,108724,115269,107951,111682,31
01.09.2020,18:18:00,110196,115228,108176,111136,97
01.09.2020,18:19:00,113720,115259,107993,113116,11
01.09.2020,18:20:00,113047,115222,108124,113707,42
01.09.2020,18:21:00,109795,115189,108094,114661,92
01.09.2020,18:22:00,108018,115292,107940,110426,22
01.09.2020,18:23:00,109548,115183,108107,112024,83
01.09.2020,18:24:00,111200,115081,108273,111561,24
01.09.2020,18:25:00,114627,115263,108208,108577,32
01.09.2020,18:26:00,110076,115251,107907,108965,19
01.09.2020,18:27:00,108416,115279,107968,111574,51
01.09.2020,18:28:00,108209,115277,107946,111017,58
01.09.2020,18:29:00,108141,115239,108141,108724,63
01.09.2020,18:30:00,114711,115003,107902,108568,48
01.09.2020,18:31:00,114422,115279,107903,107903,65
01.09.2020,18:32:00,112091,115130,108258,110978,80
01.09.2020,18:33:00,112373,115123,108095,108899,45
01.09.2020,18:34:00,114390,115275,108033,110810,64
01.09.2020,18:35:00,112539,115297,107957,109935,84
01.09.2020,18:36:00,110955,114995,107910,112429,32
01.09.2020,18:37:00,109311,115290,107928,110061,97
01.09.2020,18:38:00,115213,115213,108012,110397,93
01.09.2020,18:39:00,111654,115246,107983,115003,98
01.09.2020,18:40:00,112341,115239,108038,111823,83
01.09.2020,18:41:00,111267,115156,108165,112194,37
